studentID,course_name,subject,semester,grade,exam_date,absences_lectures,credits
1015,Data Science,Big Data Technologies,2,31,2023-05-31,18,9
1015,Data Science,Data Engineering,1,14,2024-05-02,1,0
1015,Data Science,Deep Learning,2,20,2024-06-19,9,6
1015,Data Science,Introduction to machine learning,2,8,2022-09-06,2,0
1015,Data Science,Law and data,1,5,2023-01-21,2,0
1015,Data Science,Machine Learning,1,16,2024-04-25,6,0
1015,Data Science,Natural Language Processing,3,29,2023-11-18,13,9
1015,Data Science,Programming,1,26,2022-10-14,6,6
1015,Data Science,Quantitative methods,3,9,2024-01-26,11,0
1015,Data Science,Statistical Methods,3,8,2023-04-02,3,0
1015,Data Science,Time Series Analysis,2,23,2023-08-20,8,9
1075,Computer Science,Algorithms,4,9,2024-05-29,4,0
1075,Computer Science,Cloud Computing,2,31,2024-05-19,3,9
1075,Computer Science,Computer Networks,3,22,2024-04-22,10,12
1075,Computer Science,Data Mining,4,15,2024-04-30,19,0
1075,Computer Science,Data Structures,2,25,2024-06-22,6,9
1075,Computer Science,Operating Systems,1,20,2023-01-11,0,6
1075,Computer Science,Software Engineering,3,16,2023-12-12,5,0
1075,Computer Science,Web Development,4,27,2023-10-15,10,9
1104,Biology,Biochemistry,2,3,2024-01-20,13,0
1104,Biology,Bioinformatics,1,3,2024-02-28,3,0
1104,Biology,Biophysics,2,30,2023-10-30,9,9
1104,Biology,Ecology,2,1,2023-07-05,8,0
1104,Biology,Genetics,4,6,2023-05-20,9,0
1104,Biology,Marine Biology,3,6,2023-03-31,7,0
1104,Biology,Microbiology,2,25,2024-01-24,10,12
1104,Biology,Molecular Biology,2,6,2023-10-20,15,0
1104,Biology,Physiology,3,6,2023-12-01,6,0
1104,Biology,Zoology,1,18,2024-05-26,4,6
1106,Mechanical Engineering,CAD/CAM,4,30,2024-06-05,0,12
1106,Mechanical Engineering,Fluid Mechanics,4,3,2023-04-13,0,0
1106,Mechanical Engineering,Manufacturing Processes,1,28,2024-06-05,0,9
1106,Mechanical Engineering,Material Science,2,21,2023-06-25,9,9
1106,Mechanical Engineering,Math,2,5,2023-03-23,8,0
1106,Mechanical Engineering,Mechanics of Materials,1,31,2023-12-04,5,12
1106,Mechanical Engineering,Physics,3,1,2023-02-05,19,0
1110,Psychology,Counseling Psychology,1,21,2023-03-01,19,6
1110,Psychology,Educational Psychology,4,15,2023-06-03,6,0
1112,Data Science,Algorithms,1,15,2023-12-16,4,0
1112,Data Science,Data Engineering,4,31,2023-03-05,1,12
1112,Data Science,Data Mining,4,11,2023-08-08,9,0
1112,Data Science,Data Visualization,2,12,2023-06-30,0,0
1112,Data Science,Introduction to machine learning,4,14,2024-01-28,2,0
1112,Data Science,Law and data,3,8,2023-07-08,0,0
1112,Data Science,Programming,3,11,2023-02-28,5,0
1112,Data Science,Statistical Methods,4,16,2023-06-01,10,0
1112,Data Science,Statistical Models,2,30,2024-06-06,7,6
1124,Chemistry,Analytical Chemistry,4,11,2024-04-09,11,0
1124,Chemistry,Chemical Thermodynamics,2,29,2022-12-24,4,12
1124,Chemistry,Industrial Chemistry,2,13,2023-12-09,0,0
1124,Chemistry,Inorganic Chemistry,2,17,2022-12-08,0,0
1124,Chemistry,Spectroscopy,1,23,2023-06-11,0,9
1126,Biology,Developmental Biology,4,11,2022-10-18,7,0
1139,Business Administration,Management,1,18,2023-08-12,4,12
1139,Business Administration,Organizational Behavior,1,15,2024-04-06,3,0
1139,Business Administration,Strategic Management,3,10,2023-09-06,12,0
1146,Computer Science,Algorithms,4,9,2024-04-02,8,0
1146,Computer Science,Artificial Intelligence,1,6,2024-03-03,10,0
1146,Computer Science,Computer Networks,3,23,2023-08-15,5,12
1146,Computer Science,Data Mining,2,6,2023-09-02,9,0
1146,Computer Science,Databases,3,10,2024-02-02,0,0
1146,Computer Science,Math,3,23,2023-11-02,1,12
1146,Computer Science,Mobile Computing,3,4,2023-08-01,16,0
1146,Computer Science,Operating Systems,4,18,2023-06-16,5,12
1146,Computer Science,Software Engineering,4,4,2023-05-30,1,0
1151,Electrical Engineering,Analog Circuits,2,26,2023-04-07,1,12
1151,Electrical Engineering,Communication Systems,4,15,2023-04-04,5,0
1151,Electrical Engineering,Control Systems,1,28,2023-10-11,10,12
1151,Electrical Engineering,Digital Signal Processing,1,9,2024-01-29,3,0
1151,Electrical Engineering,Electromagnetics,3,10,2024-01-06,10,0
1151,Electrical Engineering,Electromechanical Systems,2,5,2023-12-10,7,0
1151,Electrical Engineering,Embedded Systems,4,5,2022-10-09,3,0
1151,Electrical Engineering,Microelectronics,3,22,2024-05-21,3,12
1151,Electrical Engineering,Network Analysis,1,20,2022-11-30,0,12
1151,Electrical Engineering,Robotics,2,21,2023-02-26,1,6
1151,Electrical Engineering,Signals and Systems,4,15,2024-03-30,1,0
1151,Electrical Engineering,VLSI Design,2,20,2022-11-10,8,6
1157,Biology,Biophysics,4,6,2023-07-15,2,0
1157,Biology,Developmental Biology,2,3,2023-08-11,7,0
1157,Biology,Genetics,1,28,2023-07-04,4,6
1157,Biology,Microbiology,3,13,2024-03-25,2,0
1157,Biology,Neurobiology,2,21,2022-11-12,7,9
1157,Biology,Physiology,4,14,2024-02-07,5,0
1158,Mechanical Engineering,CAD/CAM,2,11,2022-09-23,4,0
1158,Mechanical Engineering,Control Systems,1,25,2024-03-04,3,6
1158,Mechanical Engineering,Dynamics,1,15,2023-05-13,11,0
1158,Mechanical Engineering,Energy Systems,3,20,2024-05-26,5,12
1158,Mechanical Engineering,Mechanical Design,3,14,2022-09-24,10,0
1158,Mechanical Engineering,Mechanics of Materials,1,31,2023-04-09,2,6
1158,Mechanical Engineering,Physics,1,28,2023-09-10,12,6
1158,Mechanical Engineering,Thermodynamics,3,12,2023-11-03,0,0
1159,Psychology,Abnormal Psychology,3,28,2023-12-08,5,9
1159,Psychology,Counseling Psychology,3,14,2023-04-01,13,0
1159,Psychology,Educational Psychology,3,24,2023-11-01,9,6
1159,Psychology,Introduction to Psychology,2,18,2023-11-30,6,6
1166,Psychology,Behavioral Neuroscience,1,1,2023-03-27,7,0
1166,Psychology,Clinical Psychology,4,9,2024-01-20,11,0
1166,Psychology,Educational Psychology,3,31,2024-06-16,13,6
1166,Psychology,Forensic Psychology,4,14,2022-11-18,0,0
1166,Psychology,Industrial-Organizational Psychology,3,2,2023-02-18,9,0
1166,Psychology,Psychopharmacology,3,8,2024-03-15,1,0
1166,Psychology,Research Methods,3,27,2022-10-03,2,9
1166,Psychology,Social Psychology,1,25,2023-01-14,0,9
1171,Electrical Engineering,Analog Circuits,4,17,2022-10-09,13,0
1171,Electrical Engineering,Digital Signal Processing,4,7,2023-11-02,6,0
1171,Electrical Engineering,Microelectronics,4,13,2024-02-02,11,0
1171,Electrical Engineering,Signals and Systems,1,3,2022-09-09,6,0
1183,Data Science,Data Visualization,3,31,2023-06-01,7,12
1183,Data Science,Introduction to machine learning,3,26,2023-01-01,10,12
1183,Data Science,Law and data,3,17,2022-12-31,10,0
1183,Data Science,Programming,2,2,2022-09-19,2,0
1183,Data Science,Statistical Methods,2,25,2024-03-22,14,12
1185,Business Administration,Business Law,1,28,2024-01-02,15,6
1185,Business Administration,Macroeconomics,2,2,2023-03-19,3,0
1185,Business Administration,Marketing,1,3,2023-11-20,16,0
1185,Business Administration,Operations Management,3,31,2023-03-20,3,9
1185,Business Administration,Organizational Behavior,2,8,2024-06-17,15,0
1185,Business Administration,Strategic Management,2,1,2024-05-11,14,0
1185,Business Administration,Supply Chain Management,4,30,2023-12-01,5,12
1189,Biology,Biochemistry,3,20,2024-03-26,5,9
1189,Biology,Botany,2,4,2024-01-17,4,0
1189,Biology,Cell Biology,2,28,2023-12-18,0,9
1189,Biology,Ecology,1,10,2023-06-23,12,0
1189,Biology,Evolutionary Biology,2,28,2024-01-10,9,12
1189,Biology,Genetics,1,13,2022-11-10,13,0
1189,Biology,Marine Biology,4,7,2023-07-31,3,0
1189,Biology,Microbiology,1,7,2024-05-14,6,0
1189,Biology,Molecular Biology,3,3,2023-06-14,7,0
1189,Biology,Neurobiology,1,30,2023-10-18,8,6
1222,Biology,Botany,2,1,2022-12-25,8,0
1222,Biology,Developmental Biology,4,22,2024-06-04,0,9
1222,Biology,Ecology,4,9,2023-08-02,4,0
1222,Biology,Evolutionary Biology,2,27,2023-02-22,5,9
1222,Biology,Immunology,2,20,2023-08-23,7,6
1222,Biology,Marine Biology,4,14,2023-07-13,2,0
1222,Biology,Physiology,1,6,2023-01-11,3,0
1222,Biology,Zoology,4,8,2024-03-30,9,0
1225,Business Administration,Finance,4,18,2024-04-30,18,6
1225,Business Administration,Macroeconomics,2,27,2024-04-10,4,12
1225,Business Administration,Math,1,9,2023-05-31,3,0
1225,Business Administration,Operations Management,2,7,2023-06-14,5,0
1225,Business Administration,Public Law,4,13,2024-05-31,1,0
1225,Business Administration,Supply Chain Management,3,11,2024-03-28,10,0
1227,Biology,Bioinformatics,2,23,2022-11-03,0,6
1227,Biology,Marine Biology,1,17,2024-05-26,0,0
1227,Biology,Neurobiology,3,26,2024-03-28,16,9
1227,Biology,Zoology,3,30,2022-12-24,10,12
1230,Psychology,Abnormal Psychology,4,10,2024-04-13,12,0
1230,Psychology,Behavioral Neuroscience,4,15,2024-05-25,7,0
1230,Psychology,Clinical Psychology,2,9,2024-04-25,7,0
1230,Psychology,Cognitive Psychology,1,25,2024-06-23,1,6
1230,Psychology,Developmental Psychology,1,11,2023-04-22,2,0
1230,Psychology,Educational Psychology,4,15,2023-02-01,10,0
1230,Psychology,Forensic Psychology,1,20,2024-01-02,13,12
1230,Psychology,Health Psychology,2,30,2024-05-16,2,6
1230,Psychology,Introduction to Psychology,4,20,2023-10-24,7,6
1230,Psychology,Psychopharmacology,1,27,2023-05-20,12,6
1236,Psychology,Abnormal Psychology,4,19,2023-08-24,6,12
1236,Psychology,Educational Psychology,2,8,2023-05-05,18,0
1236,Psychology,Forensic Psychology,3,4,2024-03-29,0,0
1236,Psychology,Health Psychology,1,3,2024-02-01,8,0
1236,Psychology,Industrial-Organizational Psychology,4,21,2023-09-30,1,6
1236,Psychology,Introduction to Psychology,1,31,2024-02-16,5,12
1236,Psychology,Personality Psychology,4,17,2024-03-23,2,0
1236,Psychology,Psychological Statistics,2,19,2024-06-01,9,12
1236,Psychology,Psychopharmacology,3,4,2024-05-02,2,0
1236,Psychology,Social Psychology,4,20,2023-07-26,18,9
1270,Data Science,Algorithms,3,4,2024-02-13,3,0
1275,Computer Science,Algorithms,3,8,2022-10-16,6,0
1275,Computer Science,Artificial Intelligence,1,3,2022-10-17,1,0
1275,Computer Science,Cloud Computing,2,17,2024-02-25,1,0
1275,Computer Science,Computer Graphics,1,26,2023-02-15,3,6
1275,Computer Science,Computer Networks,2,10,2024-01-10,5,0
1275,Computer Science,Data Structures,3,21,2023-03-18,17,9
1275,Computer Science,Human-Computer Interaction,2,5,2023-09-16,0,0
1275,Computer Science,Mobile Computing,2,11,2023-07-31,13,0
1275,Computer Science,Operating Systems,1,6,2024-02-16,3,0
1275,Computer Science,Web Development,3,10,2023-03-22,10,0
1287,Mechanical Engineering,Control Systems,4,4,2024-04-07,8,0
1287,Mechanical Engineering,Fluid Mechanics,4,28,2022-11-24,11,6
1287,Mechanical Engineering,Material Science,2,26,2024-03-01,3,9
1287,Mechanical Engineering,Mechanical Design,3,7,2023-03-06,5,0
1287,Mechanical Engineering,Physics,3,11,2024-05-19,10,0
1287,Mechanical Engineering,Solid Mechanics,2,23,2024-04-10,4,12
1287,Mechanical Engineering,Thermodynamics,3,2,2024-01-07,6,0
1295,Physics,Biophysics,1,23,2023-04-01,10,12
1295,Physics,Plasma Physics,1,23,2024-01-14,18,9
1300,Psychology,Abnormal Psychology,3,31,2023-01-17,1,12
1300,Psychology,Behavioral Neuroscience,3,29,2023-03-15,8,6
1300,Psychology,Developmental Psychology,3,5,2023-11-09,12,0
1300,Psychology,Industrial-Organizational Psychology,3,10,2023-03-28,10,0
1300,Psychology,Psychopharmacology,2,9,2024-05-18,4,0
1302,Biology,Bioinformatics,3,24,2023-03-23,9,9
1302,Biology,Cell Biology,4,2,2022-09-16,0,0
1302,Biology,Evolutionary Biology,1,4,2023-08-23,11,0
1345,Mathematics,Analysis,1,3,2023-06-15,16,0
1372,Electrical Engineering,Analog Circuits,3,19,2022-09-13,0,6
1372,Electrical Engineering,Circuits,2,20,2024-03-23,1,9
1372,Electrical Engineering,Electromagnetics,2,28,2023-08-19,6,6
1372,Electrical Engineering,Embedded Systems,1,18,2023-11-05,3,9
1372,Electrical Engineering,Microelectronics,2,31,2024-06-23,0,9
1372,Electrical Engineering,Network Analysis,1,8,2024-03-18,4,0
1372,Electrical Engineering,Renewable Energy,4,13,2023-09-30,6,0
1372,Electrical Engineering,Robotics,1,9,2023-06-24,7,0
1372,Electrical Engineering,Signals and Systems,2,24,2023-07-07,2,6
1372,Electrical Engineering,VLSI Design,3,11,2023-04-04,1,0
1379,Chemistry,Biochemistry,4,11,2024-04-09,9,0
1379,Chemistry,Industrial Chemistry,1,27,2024-03-20,10,9
1379,Chemistry,Materials Chemistry,1,6,2022-12-23,2,0
1380,Mathematics,Linear Algebra,4,7,2023-03-01,2,0
1380,Mathematics,Mathematical Logic,2,8,2024-05-08,13,0
1380,Mathematics,Mathematical Modeling,4,21,2022-12-21,6,12
1380,Mathematics,Probability,3,19,2023-10-05,2,6
1380,Mathematics,Real Analysis,1,28,2023-03-31,0,12
1380,Mathematics,Statistics,1,0,2022-10-26,3,0
1380,Mathematics,Topology,1,25,2022-12-14,2,9
1396,Data Science,Big Data Technologies,1,29,2023-02-23,17,9
1396,Data Science,Machine Learning,2,23,2023-03-11,4,12
1396,Data Science,Natural Language Processing,3,2,2022-09-06,2,0
1397,Mechanical Engineering,Robotics,4,23,2024-04-29,7,9
1425,Electrical Engineering,Circuits,1,0,2023-06-02,3,0
1425,Electrical Engineering,Communication Systems,2,8,2024-06-16,1,0
1425,Electrical Engineering,Control Systems,3,11,2022-12-07,8,0
1425,Electrical Engineering,Digital Signal Processing,2,6,2024-02-03,11,0
1425,Electrical Engineering,Electromagnetics,1,9,2023-04-13,4,0
1425,Electrical Engineering,Embedded Systems,2,22,2023-10-12,1,12
1425,Electrical Engineering,Network Analysis,1,8,2023-04-22,11,0
1425,Electrical Engineering,Power Systems,3,4,2023-02-19,4,0
1425,Electrical Engineering,Renewable Energy,1,12,2024-04-01,6,0
1425,Electrical Engineering,Robotics,4,2,2023-06-21,9,0
1425,Electrical Engineering,Signals and Systems,3,29,2024-05-23,9,12
1429,Mathematics,Differential Equations,2,29,2023-10-26,1,9
1429,Mathematics,Geometry,4,19,2024-04-23,0,6
1429,Mathematics,Linear Algebra,2,20,2023-07-29,12,6
1429,Mathematics,Mathematical Logic,1,16,2024-02-12,14,0
1429,Mathematics,Probability,2,7,2024-04-11,6,0
1432,Mechanical Engineering,Manufacturing Processes,2,20,2023-04-08,1,9
1432,Mechanical Engineering,Physics,4,4,2023-12-26,8,0
1432,Mechanical Engineering,Solid Mechanics,3,17,2023-07-02,5,0
1432,Mechanical Engineering,Vibration Analysis,1,12,2024-01-31,1,0
1435,Mathematics,Mathematical Modeling,4,1,2023-06-28,2,0
1435,Mathematics,Number Theory,4,7,2023-11-09,13,0
1435,Mathematics,Probability,3,21,2023-10-01,3,12
1444,Psychology,Educational Psychology,2,26,2024-01-19,14,9
1445,Electrical Engineering,Circuits,4,30,2023-07-29,4,12
1445,Electrical Engineering,Communication Systems,3,11,2024-03-05,6,0
1445,Electrical Engineering,Digital Signal Processing,3,25,2023-06-22,11,9
1445,Electrical Engineering,Electromagnetics,3,23,2023-09-13,0,9
1445,Electrical Engineering,Electromechanical Systems,3,17,2023-03-22,5,0
1445,Electrical Engineering,Embedded Systems,2,9,2023-12-06,7,0
1461,Psychology,Behavioral Neuroscience,3,10,2024-02-24,0,0
1461,Psychology,Clinical Psychology,3,18,2023-04-06,8,6
1461,Psychology,Educational Psychology,1,9,2024-04-15,6,0
1461,Psychology,Health Psychology,1,29,2024-04-06,1,9
1461,Psychology,Introduction to Psychology,1,7,2024-05-20,0,0
1461,Psychology,Personality Psychology,3,29,2024-05-04,13,6
1461,Psychology,Psychological Statistics,1,25,2023-02-20,1,9
1467,Electrical Engineering,Circuits,3,19,2024-05-12,4,12
1467,Electrical Engineering,Communication Systems,4,20,2024-04-30,17,6
1467,Electrical Engineering,Control Systems,4,19,2023-04-18,4,9
1467,Electrical Engineering,Electromechanical Systems,2,24,2023-11-21,0,12
1467,Electrical Engineering,Embedded Systems,1,13,2023-09-06,11,0
1467,Electrical Engineering,Microelectronics,4,29,2023-08-12,8,9
1467,Electrical Engineering,Network Analysis,4,12,2023-11-09,2,0
1467,Electrical Engineering,Power Systems,1,10,2024-01-22,7,0
1467,Electrical Engineering,Renewable Energy,4,17,2024-04-19,1,0
1470,Psychology,Abnormal Psychology,2,28,2023-02-17,9,12
1470,Psychology,Forensic Psychology,4,1,2024-06-21,8,0
1470,Psychology,Health Psychology,2,10,2024-02-01,0,0
1470,Psychology,Industrial-Organizational Psychology,1,4,2024-02-24,6,0
1470,Psychology,Psychological Statistics,1,28,2023-03-19,2,9
1470,Psychology,Psychopharmacology,4,6,2023-03-12,5,0
1470,Psychology,Research Methods,4,27,2024-02-27,8,6
1473,Mathematics,Abstract Algebra,2,12,2023-04-02,0,0
1473,Mathematics,Analysis,2,21,2023-11-15,6,12
1473,Mathematics,Discrete Mathematics,3,19,2022-12-16,0,12
1473,Mathematics,Linear Algebra,4,2,2023-04-18,7,0
1473,Mathematics,Mathematical Modeling,1,18,2023-12-25,14,9
1473,Mathematics,Statistics,3,0,2024-03-01,0,0
1473,Mathematics,Topology,1,10,2024-04-22,8,0
1483,Electrical Engineering,Circuits,3,2,2022-09-22,1,0
1483,Electrical Engineering,Digital Logic,1,17,2023-01-05,0,0
1483,Electrical Engineering,Embedded Systems,2,15,2024-04-03,7,0
1485,Mathematics,Abstract Algebra,3,16,2024-05-01,3,0
1485,Mathematics,Analysis,3,8,2023-12-21,10,0
1485,Mathematics,Complex Analysis,2,26,2024-01-16,16,6
1485,Mathematics,Differential Equations,1,14,2024-04-08,6,0
1485,Mathematics,Linear Algebra,1,23,2024-05-07,12,6
1485,Mathematics,Mathematical Logic,1,0,2022-09-30,6,0
1485,Mathematics,Mathematical Modeling,1,19,2023-02-20,3,9
1485,Mathematics,Probability,4,15,2023-11-27,4,0
1485,Mathematics,Real Analysis,4,4,2023-01-29,5,0
1485,Mathematics,Statistics,3,21,2024-02-25,3,12
1485,Mathematics,Topology,1,5,2023-10-19,8,0
1496,Biology,Biochemistry,4,10,2023-12-14,4,0
1496,Biology,Bioinformatics,4,31,2023-07-06,3,12
1496,Biology,Biophysics,3,8,2024-04-21,10,0
1496,Biology,Botany,2,29,2024-03-25,9,12
1496,Biology,Ecology,2,11,2023-06-19,2,0
1496,Biology,Genetics,1,2,2023-07-24,12,0
1496,Biology,Marine Biology,2,29,2023-03-22,13,9
1501,Biology,Biophysics,4,3,2023-03-01,4,0
1501,Biology,Botany,3,10,2024-01-03,14,0
1501,Biology,Cell Biology,3,5,2023-07-15,5,0
1501,Biology,Developmental Biology,1,26,2023-04-19,8,9
1501,Biology,Evolutionary Biology,3,30,2024-04-28,7,12
1501,Biology,Genetics,1,6,2024-06-17,8,0
1501,Biology,Immunology,2,22,2024-05-13,5,9
1501,Biology,Molecular Biology,1,30,2023-08-01,3,12
