studentID,course_name,subject,semester,grade,exam_date,absences_lectures,credits
2373,Physics,Thermodynamics,3,24,2024-02-23,3,6
2373,Physics,Computational Physics,4,15,2024-05-11,2,0
2373,Physics,Solid State Physics,2,0,2024-03-22,8,0
2373,Physics,Biophysics,4,30,2024-02-11,7,12
2373,Physics,Classical Mechanics,3,22,2024-06-19,4,9
2373,Physics,Statistical Mechanics,4,5,2023-04-30,7,0
2373,Physics,Optics,2,13,2023-08-01,9,0
2373,Physics,Particle Physics,2,22,2023-11-25,8,9
2373,Physics,Mathematical Physics,1,30,2022-12-20,11,6
2373,Physics,Geophysics,4,10,2022-12-09,9,0
2373,Physics,Plasma Physics,3,1,2023-10-20,12,0
2373,Physics,Nuclear Physics,4,9,2023-11-01,3,0
2373,Physics,Quantum Mechanics,2,11,2024-05-08,0,0
2373,Physics,Condensed Matter Physics,3,3,2022-10-03,1,0
3926,Data Science,Algorithms,1,14,2024-01-15,13,0
3926,Data Science,Machine Learning,4,12,2024-06-07,14,0
7082,Data Science,Introduction to machine learning,1,12,2023-05-04,3,0
7082,Data Science,Data Mining,1,29,2024-02-18,7,9
7082,Data Science,Quantitative methods,4,22,2022-11-03,7,9
7082,Data Science,Big Data Technologies,1,7,2023-04-14,10,0
7082,Data Science,Algorithms,2,23,2023-05-03,0,6
7082,Data Science,Cloud Computing,4,6,2023-08-03,9,0
7082,Data Science,Statistical Models,2,21,2024-05-30,14,12
7082,Data Science,Natural Language Processing,4,7,2022-09-12,5,0
7082,Data Science,Deep Learning,1,0,2023-03-17,0,0
7082,Data Science,Law and data,1,21,2023-03-16,7,12
7082,Data Science,Machine Learning,3,23,2023-10-13,14,6
7082,Data Science,Time Series Analysis,1,30,2023-04-15,6,9
7082,Data Science,Data Visualization,1,10,2022-10-01,2,0
7810,Mechanical Engineering,Dynamics,3,9,2024-01-10,3,0
7810,Mechanical Engineering,Energy Systems,2,15,2022-10-16,3,0
7810,Mechanical Engineering,Fluid Mechanics,4,23,2023-04-07,12,6
7810,Mechanical Engineering,Mechanical Design,4,3,2023-06-26,18,0
7810,Mechanical Engineering,Control Systems,4,0,2023-05-02,7,0
7810,Mechanical Engineering,Vibration Analysis,3,2,2023-07-09,0,0
7810,Mechanical Engineering,Physics,3,17,2024-06-17,12,0
7810,Mechanical Engineering,Mechanics of Materials,3,19,2022-12-28,6,12
7810,Mechanical Engineering,Solid Mechanics,3,29,2023-01-04,13,6
7731,Business Administration,Finance,3,12,2022-11-14,4,0
7731,Business Administration,Math,3,20,2024-03-13,19,12
7731,Business Administration,Marketing,3,31,2024-01-12,2,9
1393,Mechanical Engineering,Solid Mechanics,4,25,2023-09-19,4,12
8642,Mathematics,Complex Analysis,3,27,2023-05-11,3,12
7429,Data Science,Algorithms,4,29,2022-11-05,0,6
7429,Data Science,Big Data Technologies,4,11,2023-01-29,1,0
7429,Data Science,Natural Language Processing,3,29,2023-05-26,7,12
7429,Data Science,Programming,2,14,2023-12-12,4,0
7429,Data Science,Data Mining,1,9,2023-01-03,8,0
5801,Mathematics,Number Theory,4,17,2023-08-07,11,0
5801,Mathematics,Real Analysis,1,16,2023-06-09,6,0
5801,Mathematics,Abstract Algebra,4,12,2023-10-11,2,0
5801,Mathematics,Topology,4,30,2023-12-21,9,9
3595,Business Administration,Organizational Behavior,2,0,2023-03-28,1,0
3595,Business Administration,Business Law,1,1,2024-03-05,8,0
3595,Business Administration,Human Resource Management,1,10,2024-02-18,8,0
3595,Business Administration,Public Law,1,5,2023-11-22,5,0
3595,Business Administration,Microeconomics,2,22,2023-05-22,2,12
3595,Business Administration,Strategic Management,1,11,2023-12-26,1,0
3595,Business Administration,Supply Chain Management,2,10,2023-02-04,16,0
3595,Business Administration,Finance,3,16,2024-02-15,2,0
3115,Data Science,Cloud Computing,1,1,2024-01-16,4,0
5637,Data Science,Cloud Computing,2,16,2024-04-21,7,0
5637,Data Science,Statistical Methods,4,14,2022-11-13,14,0
5637,Data Science,Law and data,4,26,2023-11-24,10,6
5637,Data Science,Big Data Technologies,2,8,2022-12-03,3,0
